一	1	target	一	イチ,イツ,ひと-,ひと.つ	ひと・つ、イチ	yksi	一[いち] (yleisyys: 23.),一[ひと] (yleisyys: 146.),一人[ひとり] (yleisyys: 234.),一寸[ちょっと] (yleisyys: 287.),一般[いっぱん] (yleisyys: 338.)	一つ・ひとつ	1 kpl	一ぴき・いっぴき	1 pieni eläin	一人・ひとり !	1 ihminen										"Merkin vetojen lukumäärä: 1 <br> <a href=""https://jisho.org/search/一%23kanji"" target=""_blank"">一 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*一*
二	1	target	二	ニ,ジ,ふた,ふた.つ,ふたたび	ふた・つ、ニ	kaksi	二[に] (yleisyys: 28.),二十[にじゅう] (yleisyys: 66.),二千[にせん] (yleisyys: 193.),二百[にひゃく] (yleisyys: 239.),二人[ふたり] (yleisyys: 252.)	二つ・ふたつ	2 kpl	二ひき・にひき	2 pientä eläintä	二人・ふたり !	2 ihmistä										"Merkin vetojen lukumäärä: 2 <br> <a href=""https://jisho.org/search/二%23kanji"" target=""_blank"">二 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*二*
三	1	target	三	サン,ゾウ,み,み.つ,みっ.つ	みっ・つ、サン	kolme	三[さん] (yleisyys: 32.),三十[さんじゅう] (yleisyys: 89.),三百[さんびゃく] (yleisyys: 368.),三[み] (yleisyys: 586.),三千[さんぜん] (yleisyys: 675.)	三つ・みっつ	3 kpl	三びき・さんびき	3 pientä eläintä	三人・さんにん	3 ihmistä										"Merkin vetojen lukumäärä: 3 <br> <a href=""https://jisho.org/search/三%23kanji"" target=""_blank"">三 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*三*
四	1	target	四	シ,よ,よ.つ,よっ.つ,よん	よっ・つ、シ	neljä	四[よん] (yleisyys: 49.),四十[よんじゅう] (yleisyys: 136.),四百[よんひゃく] (yleisyys: 499.),四[し] (yleisyys: 673.),四千[よんせん] (yleisyys: 1136.)	四つ・よっつ	4 kpl	四ひき・よんひき	4 pientä eläintä	四人・よにん	4 ihmistä										"Merkin vetojen lukumäärä: 5 <br> <a href=""https://jisho.org/search/四%23kanji"" target=""_blank"">四 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*四*
五	1	target	五	ゴ,いつ,いつ.つ	いつ・つ、ゴ	viisi	五[ご] (yleisyys: 44.),五十[ごじゅう] (yleisyys: 109.),五百[ごひゃく] (yleisyys: 341.),五千[ごせん] (yleisyys: 799.),五[いつ] (yleisyys: 1450.)	五つ・いつつ	5 kpl	五ひき・ごひき	5 pientä eläintä	五人・ごにん	5 ihmistä										"Merkin vetojen lukumäärä: 4 <br> <a href=""https://jisho.org/search/五%23kanji"" target=""_blank"">五 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*五*
亠	1	comp	亠	トウ	トウ	kattilankansi																	"Merkin vetojen lukumäärä: 2 <br> <a href=""https://jisho.org/search/亠%23kanji"" target=""_blank"">亠 Jisho-sanakirjassa</a>"	vain komponentti	
六	1	target	亠八	ロク,リク,む,む.つ,むっ.つ,むい	むっ・つ、ロク	kuusi	六[ろく] (yleisyys: 65.),六十[ろくじゅう] (yleisyys: 161.),六百[ろっぴゃく] (yleisyys: 568.),六千[ろくせん] (yleisyys: 1309.),六[む] (yleisyys: 2141.)	六つ・むっつ	6 kpl	六ぴき・ろっぴき	6 pientä eläintä	六人・ろくにん	6 ihmistä										"Merkin vetojen lukumäärä: 4 <br> <a href=""https://jisho.org/search/六%23kanji"" target=""_blank"">六 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*六*
七	1	target	七	シチ,なな,なな.つ,なの	なな・つ、シチ	seitsemän	七[なな] (yleisyys: 75.),七十[ななじゅう] (yleisyys: 184.),七[しち] (yleisyys: 518.),七百[ななひゃく] (yleisyys: 579.),七千[ななせん] (yleisyys: 1593.)	七つ・ななつ	7 kpl	七ひき・ななひき	7 pientä eläintä	七人・ななにん／しちにん	7 ihmistä										"Merkin vetojen lukumäärä: 2 <br> <a href=""https://jisho.org/search/七%23kanji"" target=""_blank"">七 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*七*
八	1	target	八	ハチ,や,や.つ,やっ.つ,よう	やっ・つ、ハチ	kahdeksan	八[はち] (yleisyys: 70.),八十[はちじゅう] (yleisyys: 170.),八百[はっぴゃく] (yleisyys: 349.),八千[はっせん] (yleisyys: 1507.),八[や] (yleisyys: 2228.)	八つ・やっつ	8 kpl	八ぴき・はっぴき	8 pientä eläintä	八人・はちにん	8 ihmistä										"Merkin vetojen lukumäärä: 2 <br> <a href=""https://jisho.org/search/八%23kanji"" target=""_blank"">八 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*八*
九	1	target	九	キュウ,ク,ここの,ここの.つ	ここの・つ、キュウ	yhdeksän	九[きゅう] (yleisyys: 76.),九百[きゅうひゃく] (yleisyys: 119.),九十[きゅうじゅう] (yleisyys: 163.),九千[きゅうせん] (yleisyys: 1610.),九[ここの] (yleisyys: 2578.)	九つ・ここのつ	9 kpl	九ひき・きゅうひき	9 pientä eläintä	九人・きゅうにん	9 ihmistä										"Merkin vetojen lukumäärä: 2 <br> <a href=""https://jisho.org/search/九%23kanji"" target=""_blank"">九 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*九*
十	1	target	十	ジュウ,ジッ,ジュッ,とお,と	とお、ジュウ	kymmenen	十[じゅう] (yleisyys: 33.),二十[にじゅう] (yleisyys: 66.),三十[さんじゅう] (yleisyys: 89.),五十[ごじゅう] (yleisyys: 109.),四十[よんじゅう] (yleisyys: 136.)	十・とう	10 kpl	十ぴき・じゅっぴき	10 pientä eläintä	十人・じゅうにん	10 ihmistä										"Merkin vetojen lukumäärä: 2 <br> <a href=""https://jisho.org/search/十%23kanji"" target=""_blank"">十 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*十*
口	2	comp	口	コウ,ク,くち	コウ,くち	suu	口[くち] (yleisyys: 403.),人口[じんこう] (yleisyys: 1071.),入り口[いりぐち] (yleisyys: 2372.),窓口[まどぐち] (yleisyys: 2671.),口調[くちょう] (yleisyys: 2812.)	口・くち	suu	人口・じんこう	väkiluku					口を大きくあけてください。	Avaa suu isoksi.	日本の人口は何人ですか	Mikä on Japanin väkiluku?				"Merkin vetojen lukumäärä: 3 <br> <a href=""https://jisho.org/search/口%23kanji"" target=""_blank"">口 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*口*
￠	2	comp			-																			vain komponentti	
可	2	comp	￠口	カ,コク,-べ.き,-べ.し	カ	mahdollinen	可能[かのう] (yleisyys: 237.),可成[かなり] (yleisyys: 532.),可愛い[かわいい] (yleisyys: 1064.),可笑しい[おかしい] (yleisyys: 1504.),許可[きょか] (yleisyys: 1638.)																"Merkin vetojen lukumäärä: 5 <br> <a href=""https://jisho.org/search/可%23kanji"" target=""_blank"">可 Jisho-sanakirjassa</a>"		
亻	2	comp	亻			ihminen (人 kun tämä komponentti on merkin vasemmalla puolella)																	"Merkin vetojen lukumäärä: 2 <br> <a href=""https://jisho.org/search/亻%23kanji"" target=""_blank"">亻 Jisho-sanakirjassa</a>"	vain komponentti	
何	2	target	亻可	カ,なに,なん,なに-,なん-	なに、なん	mikä?	何[なに] (yleisyys: 62.),何時[いつ] (yleisyys: 202.),何処[どこ] (yleisyys: 240.),何[なん] (yleisyys: 277.),何の[どの] (yleisyys: 323.)	何・なに	mikä	何年生・なんねんせい	moneskoluokkalainen					フィンランドは何ごですか。	Mitä kieltä Suomessa puhutaan?	ルースさんは何年生ですか。	Monennellako luokalla Ruusu on?				"Merkin vetojen lukumäärä: 7 <br> <a href=""https://jisho.org/search/何%23kanji"" target=""_blank"">何 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*何*
寸	2	comp	寸	スン	スン	vanha pituusmitta sun, n. 3 cm	一寸[ちょっと] (yleisyys: 287.)																"Merkin vetojen lukumäärä: 3 <br> <a href=""https://jisho.org/search/寸%23kanji"" target=""_blank"">寸 Jisho-sanakirjassa</a>"		
土	2	comp	土	ド,ト,つち	ド,つち	maa, maaperä	土地[とち] (yleisyys: 646.),土[ど] (yleisyys: 1281.),国土[こくど] (yleisyys: 2429.),土[つち] (yleisyys: 2515.),土曜[どよう] (yleisyys: 2586.)	土・つち	maa, maaperä	土曜日・どようび	lauantai												"Merkin vetojen lukumäärä: 3 <br> <a href=""https://jisho.org/search/土%23kanji"" target=""_blank"">土 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*土*
寺	2	comp	土寸	ジ,てら	ジ,てら	(buddhalainen) temppeli	寺[じ] (yleisyys: 1161.),寺[てら] (yleisyys: 2546.)																"Merkin vetojen lukumäärä: 6 <br> <a href=""https://jisho.org/search/寺%23kanji"" target=""_blank"">寺 Jisho-sanakirjassa</a>"		
時	2	target	日寺	ジ,とき,-どき	とき、ジ	aika, tunti	時[とき] (yleisyys: 64.),時[じ] (yleisyys: 122.),時間[じかん] (yleisyys: 134.),何時[いつ] (yleisyys: 202.),時代[じだい] (yleisyys: 244.)	時・とき	aika	時・じ	tunti					きゅうけいの時にたいそうしましょう。	Jumpataan tauoilla!	いま何時ですか。	Mitä kello on?				"Merkin vetojen lukumäärä: 10 <br> <a href=""https://jisho.org/search/時%23kanji"" target=""_blank"">時 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*時*
刀	2	comp	刀	トウ,かたな,そり	トウ,かたな	veitsi, miekka	刀[かたな] (yleisyys: 4356.)																"Merkin vetojen lukumäärä: 2 <br> <a href=""https://jisho.org/search/刀%23kanji"" target=""_blank"">刀 Jisho-sanakirjassa</a>"		
分	2	target	八刀	ブン,フン,ブ,わ.ける,わ.け,わ.かれる,わ.かる,わ.かつ	わかる、ブン	osa, minuutti; ymmärtää; jakaa	自分[じぶん] (yleisyys: 87.),分かる[わかる] (yleisyys: 105.),分[ふん] (yleisyys: 238.),部分[ぶぶん] (yleisyys: 344.),分[ぶん] (yleisyys: 476.)	分・ふん、ぶん、ぷん	minuutti	分かる・わかる	ymmärtää					じゅぎょうは四時十五分におわります。	Oppitunti loppuu viisitoista yli neljä.	ロシアごは分かりません。	En ymmärrä venäjää.				"Merkin vetojen lukumäärä: 4 <br> <a href=""https://jisho.org/search/分%23kanji"" target=""_blank"">分 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*分*
半	2	target																							
日	2	target	日	ニチ,ジツ,ひ,-び,-か	ひ	aurinko, päivä	日本[にっぽん] (yleisyys: 78.),日[にち] (yleisyys: 106.),日[ひ] (yleisyys: 150.),日[か] (yleisyys: 169.),今日[きょう] (yleisyys: 247.)	日本・にほん・にっぽん	Japani	日・ひ	aurinko					日本はじしんがおおいです。	Japanissa on paljon maanjäristyksiä.	ゆう日がきれいです。	Auringonlasku on kaunis.				"Merkin vetojen lukumäärä: 4 <br> <a href=""https://jisho.org/search/日%23kanji"" target=""_blank"">日 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*日*
月	2	target	月	ゲツ,ガツ,つき	つき、ガツ	kuu; kuukausi	月[がつ] (yleisyys: 69.),箇月[かげつ] (yleisyys: 488.),月[つき] (yleisyys: 1101.),正月[しょうがつ] (yleisyys: 3161.),毎月[まいつき] (yleisyys: 3327.)	月・つき	kuu	月・がつ	kuukausi	二か月・にかげつ	kahden kuukauden aika			月にうさぎはいますか。	Onko kuussa jäniksiä?	いもうとが七月に生まれました。	Minulle syntyi pikkusisko heinäkuussa.	なつやすみはに二か月です。	Kesäloma on kahden kuukauden mittainen.		"Merkin vetojen lukumäärä: 4 <br> <a href=""https://jisho.org/search/月%23kanji"" target=""_blank"">月 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*月*
年	2	target	年	ネン,とし	ネン,とし	vuosi	年[ねん] (yleisyys: 42.),年度[ねんど] (yleisyys: 273.),年間[ねんかん] (yleisyys: 564.),年金[ねんきん] (yleisyys: 750.),今年[ことし] (yleisyys: 845.)	年・とし	vuosi	二年生・にねんせい	2. luokkalainen					お年はいくつですか。	Mikä vuosi nyt on?	ティモさんは二ねんせいですか	Onko Timo 2. luokkalainen?				"Merkin vetojen lukumäärä: 6 <br> <a href=""https://jisho.org/search/年%23kanji"" target=""_blank"">年 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*年*
生	2	target	生	セイ,ショウ,い.きる,い.かす,い.ける,う.まれる,うま.れる,う.まれ,うまれ,う.む,お.う,は.える,は.やす,き,なま,なま-,な.る,な.す,む.す,-う	セイ、いき・る、生まれ？	elämä; syntymä	生活[せいかつ] (yleisyys: 196.),先生[せんせい] (yleisyys: 320.),生[せい] (yleisyys: 330.),生きる[いきる] (yleisyys: 421.),生産[せいさん] (yleisyys: 465.)	生年月日・せいねんがっぴ	syntymäaika	先生、せんせい	opettaja	生きる・いきる	elää	生まれ・うまれ	syntynyt	生年月日をかいてください。	Kirjoittakaa syntymäaikanne.	きびしくない先生です。	Hän ei ole ankara opettaja.	ひゃくさいまで生きたいですか。	Haluaisitko elää satavuotiaaksi?	何月生まれですか。Missä kuussa olet syntynyt?	"Merkin vetojen lukumäärä: 5 <br> <a href=""https://jisho.org/search/生%23kanji"" target=""_blank"">生 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*生*
口	2	target	口	コウ,ク,くち	コウ,くち	suu	口[くち] (yleisyys: 403.),人口[じんこう] (yleisyys: 1071.),入り口[いりぐち] (yleisyys: 2372.),窓口[まどぐち] (yleisyys: 2671.),口調[くちょう] (yleisyys: 2812.)	口・くち	suu	人口・じんこう	väkiluku					口を大きくあけてください。	Avaa suu isoksi.	日本の人口は何人ですか	Mikä on Japanin väkiluku?				"Merkin vetojen lukumäärä: 3 <br> <a href=""https://jisho.org/search/口%23kanji"" target=""_blank"">口 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*口*
目	2	target	目	モク,ボク,め,-め,ま-	モク,め,-め	silmä	目[め] (yleisyys: 162.),目[め] (yleisyys: 300.),目的[もくてき] (yleisyys: 433.),駄目[だめ] (yleisyys: 741.),目標[もくひょう] (yleisyys: 989.)	目・め	silmä	目的・もくてき	päämäärä, tavoite; aie, tarkoitus	科目・かもく	kouluaine			上野（うえの）さんは 目がいい。	Uenon näkö on hyvä. (silmät ovat hyvät)						"Merkin vetojen lukumäärä: 5 <br> <a href=""https://jisho.org/search/目%23kanji"" target=""_blank"">目 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*目*
耳	2	target	耳	ジ,みみ		korva	耳[みみ] (yleisyys: 1049.)	耳・みみ	korva														"Merkin vetojen lukumäärä: 6 <br> <a href=""https://jisho.org/search/耳%23kanji"" target=""_blank"">耳 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*耳*
手	2	target	手	シュ,ズ,て,て-,-て,た-	ズ,て	käsi	手[て] (yleisyys: 177.),相手[あいて] (yleisyys: 299.),選手[せんしゅ] (yleisyys: 800.),手続き[てつづき] (yleisyys: 1119.),手紙[てがみ] (yleisyys: 1336.)	手・て	käsi	上手・じょうず !	hyvä jossakin	下手・へた !	huono jossakin			手を二かいたたいておじぎをします。	Taputa kaksi kertaa ja kumarra.	日本ごが上手な子です。	Lapsi, jonka japani on hyvää	フィンランドごが下手です。	Olen huono suomen kielessä.		"Merkin vetojen lukumäärä: 4 <br> <a href=""https://jisho.org/search/手%23kanji"" target=""_blank"">手 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*手*
足	2	target																							
人	2	target	人	ジン,ニン,ひと,-り,-と	ひと、ニン、ジン	ihminen	人[ひと] (yleisyys: 67.),人[にん] (yleisyys: 132.),人[じん] (yleisyys: 138.),人間[にんげん] (yleisyys: 192.),一人[ひとり] (yleisyys: 234.)	日本人・にほんじん	japanilainen	何人・なんにん	kuinka monta henkilöä	人・ひと	ihminen	一人・ひとり !　二人・ふたり !　三人・さんにん !	yksi ihminen kaksi ihmistä kolme ihmistä	先生は日本人じゃありません。	Opettaja ei ole japanilainen.	きょうだいは何人ですか？	Kuinka monta sisarusta sinulla on?	好きな人はいますか。	Onko sinulla mielitiettyä?		"Merkin vetojen lukumäärä: 2 <br> <a href=""https://jisho.org/search/人%23kanji"" target=""_blank"">人 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*人*
小	2	target	小	ショウ,ちい.さい,こ-,お-,さ-	ちいさい、ショウ	pieni	小[しょう] (yleisyys: 399.),小さい[ちいさい] (yleisyys: 714.),小さな[ちいさな] (yleisyys: 726.),小説[しょうせつ] (yleisyys: 1433.),小学[しょうがく] (yleisyys: 1839.)	小さい・ちいさい	pieni	大中小・だいちゅうしょう	suuri, keskikokoinen, pieni (esim. annoskoko)					小さいこえではなしましょう。	Puhutaanpas hiljaisella äänellä.	サイズは大中小がございます。	Koot ovat, iso, keskikokoinen ja pieni.				"Merkin vetojen lukumäärä: 3 <br> <a href=""https://jisho.org/search/小%23kanji"" target=""_blank"">小 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*小*
大	2	target	大	ダイ,タイ,おお-,おお.きい,-おお.いに	ダイ、おおきい	suuri	大[だい] (yleisyys: 213.),大きい[おおきい] (yleisyys: 233.),大きな[おおきな] (yleisyys: 282.),大学[だいがく] (yleisyys: 318.),大臣[だいじん] (yleisyys: 534.)	大きい・おおきい	iso	大学・だいがく	yliopisto					大きいサイズでおねがいします。	Saisinko ison [vaatekoon].	あねは大学生です。	Isosiskoni on yliopisto-opiskelija.				"Merkin vetojen lukumäärä: 3 <br> <a href=""https://jisho.org/search/大%23kanji"" target=""_blank"">大 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*大*
犬	2	target																							
木	2	comp	木	ボク,モク,き,こ-	モク,き	puu	木[き] (yleisyys: 648.),木材[もくざい] (yleisyys: 4555.),木曜[もくよう] (yleisyys: 4908.)	木・き	puu	木曜日・もくようび	torstai												"Merkin vetojen lukumäärä: 4 <br> <a href=""https://jisho.org/search/木%23kanji"" target=""_blank"">木 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*木*
本	2	target	木一	ホン,もと	ホン	kirja; alkuperä; todellinen, aito; laskusana sylinterinmuotoisille esineille	日本[にっぽん] (yleisyys: 78.),本当[ほんとう] (yleisyys: 248.),基本[きほん] (yleisyys: 367.),本[ほん] (yleisyys: 538.),本[ほん] (yleisyys: 539.)	本・ほん	kirja	本当・ほんとう	tosi					本をよむことがしゅみです。	Lukeminen on harrastukseni.	そのおはなしは本とうですか。	Onko tuo tarina tosi?				"Merkin vetojen lukumäärä: 5 <br> <a href=""https://jisho.org/search/本%23kanji"" target=""_blank"">本 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*本*
中	2	target	中	チュウ,なか,うち,あた.る	なか、チュウ	keskellä, sisällä	中[なか] (yleisyys: 82.),中[ちゅう] (yleisyys: 208.),中国[ちゅうごく] (yleisyys: 390.),中心[ちゅうしん] (yleisyys: 413.),中[ちゅう] (yleisyys: 729.)	中・なか	keskellä; sisällä	中学生・ちゅうがくせい	yläkoululainen					リュックの中におかしがあります。	Repussa on herkkuja.	ぼくは中学生です。	Olen yläkoululainen.				"Merkin vetojen lukumäärä: 4 <br> <a href=""https://jisho.org/search/中%23kanji"" target=""_blank"">中 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*中*
言	2	target	言	ゲン,ゴン,い.う,こと		Kanjin merkityksiä englanniksi: say, word;	言う[いう] (yleisyys: 18.),言葉[ことば] (yleisyys: 222.),言語[げんご] (yleisyys: 1510.),発言[はつげん] (yleisyys: 1947.),一言[ひとこと] (yleisyys: 1994.)	言う・いう	sanoa	言葉・ことば？？？													"Merkin vetojen lukumäärä: 7 <br> <a href=""https://jisho.org/search/言%23kanji"" target=""_blank"">言 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*言*
語	2	target	言五口	ゴ,かた.る,かた.らう		Kanjin merkityksiä englanniksi: word, speech, language;	語[ご] (yleisyys: 408.),語る[かたる] (yleisyys: 890.),英語[えいご] (yleisyys: 1185.),物語[ものがたり] (yleisyys: 1490.),言語[げんご] (yleisyys: 1510.)	語・ご	kieli; sana	言語・げんご	kieli												"Merkin vetojen lukumäärä: 14 <br> <a href=""https://jisho.org/search/語%23kanji"" target=""_blank"">語 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*語*
国	2	target																							
百	2	target	一白	ヒャク,ビャク,もも	ヒャク,ビャク	sata	九百[きゅうひゃく] (yleisyys: 119.),百[ひゃく] (yleisyys: 124.),二百[にひゃく] (yleisyys: 239.),五百[ごひゃく] (yleisyys: 341.),八百[はっぴゃく] (yleisyys: 349.)	百・ひゃく	sata														"Merkin vetojen lukumäärä: 6 <br> <a href=""https://jisho.org/search/百%23kanji"" target=""_blank"">百 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*百*
千	2	target	千	セン,ち	セン,ち	tuhat	千[せん] (yleisyys: 86.),二千[にせん] (yleisyys: 193.),三千[さんぜん] (yleisyys: 675.),五千[ごせん] (yleisyys: 799.),四千[よんせん] (yleisyys: 1136.)	千・せん	tuhat														"Merkin vetojen lukumäärä: 3 <br> <a href=""https://jisho.org/search/千%23kanji"" target=""_blank"">千 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*千*
万	2	target	万	マン,バン,よろず	マン	10000	万[まん] (yleisyys: 117.)	万・まん	10000							フィンランドの人口は五百五十万人ぐらいです。	Suomen väkiluku on 5,5 miljoonaa (japaniksi: 550 x 10 000).						"Merkin vetojen lukumäärä: 3 <br> <a href=""https://jisho.org/search/万%23kanji"" target=""_blank"">万 Jisho-sanakirjassa</a>"	Tähän voi kirjoittaa käsin lisätietoja	*万*
